iter	MultiClass
0	2.110726522
1	1.991102941
2	1.893010093
3	1.809984878
4	1.735632688
5	1.676201395
6	1.62590214
7	1.575709985
8	1.530326036
9	1.483572467
10	1.439337481
11	1.400526453
12	1.37489572
13	1.350012238
14	1.316377522
15	1.288290928
16	1.251861106
17	1.226748102
18	1.20133512
19	1.173291914
20	1.156182455
21	1.135625527
22	1.121226841
23	1.095664344
24	1.073145979
25	1.056428896
26	1.044596642
27	1.02444484
28	1.012680803
29	0.9999890144
30	0.9896917795
31	0.9709035641
32	0.9557295281
33	0.9419059345
34	0.9303140467
35	0.9175450624
36	0.9065538127
37	0.8914505271
38	0.8794357799
39	0.8684497198
40	0.8566141203
41	0.8468397742
42	0.8376835205
43	0.8293175593
44	0.8226628758
45	0.8129143338
46	0.80605088
47	0.7985794949
48	0.7929972453
49	0.7808127769
50	0.7742368206
51	0.7683613857
52	0.761757244
53	0.7538802913
54	0.746717006
55	0.7403745264
56	0.7355239514
57	0.7278226482
58	0.7209796607
59	0.7154076712
60	0.7089486668
61	0.7027473204
62	0.6978127181
63	0.6917244883
64	0.6848987524
65	0.6780389158
66	0.6720272642
67	0.6643294497
68	0.6572393613
69	0.6532426124
70	0.6457799149
71	0.6416918322
72	0.6369511899
73	0.6314013197
74	0.6270219287
75	0.6212386752
76	0.6164698656
77	0.6120226128
78	0.6076264314
79	0.6025779153
80	0.6000238303
81	0.5950436143
82	0.5917856143
83	0.588226112
84	0.585630785
85	0.582378465
86	0.5788758742
87	0.5752396701
88	0.5693601889
89	0.5671706
90	0.5617275605
91	0.55766899
92	0.5550975906
93	0.5498329291
94	0.5471536866
95	0.5451187877
96	0.540703713
97	0.5375125237
98	0.534982966
99	0.5299260165
100	0.5269434859
101	0.5246336383
102	0.5230269055
103	0.5205257139
104	0.5176656816
105	0.515189122
106	0.5129079072
107	0.5108450858
108	0.5082261123
109	0.5056275723
110	0.5023684549
111	0.4990374467
112	0.4962211424
113	0.4930672123
114	0.4904923689
115	0.4880351581
116	0.4849932381
117	0.4832070843
118	0.4795417173
119	0.4770941115
120	0.4748873269
121	0.473109003
122	0.4706568266
123	0.468354251
124	0.4661784441
125	0.4630793908
126	0.4601554385
127	0.457821766
128	0.4555403358
129	0.4526032502
130	0.4500281223
131	0.4475749761
132	0.4452917965
133	0.4432282559
134	0.441214134
135	0.4388835251
136	0.436693142
137	0.4341260607
138	0.4317234424
139	0.4293558323
140	0.4269928583
141	0.4247839905
142	0.4229793353
143	0.4213277843
144	0.4205706859
145	0.418493776
146	0.4165361862
147	0.4144044912
148	0.4123051591
149	0.410870317
150	0.4091317906
151	0.4069116838
152	0.4039848931
153	0.4019228711
154	0.3999116356
155	0.3983266188
156	0.3971744471
157	0.3951135489
158	0.3933045343
159	0.3922790159
160	0.3909368426
161	0.389908942
162	0.3879612338
163	0.3860415586
164	0.3850277802
165	0.3830313854
166	0.3810424553
167	0.3783679823
168	0.377221324
169	0.3749053769
170	0.3734196779
171	0.3723189301
172	0.3707232706
173	0.3692236278
174	0.3682263279
175	0.367031237
176	0.365576001
177	0.3643122804
178	0.3632988026
179	0.3624196107
180	0.3605806122
181	0.3591463413
182	0.3577312715
183	0.3564409668
184	0.3557225815
185	0.354594835
186	0.3537606606
187	0.3526677614
188	0.3518982336
189	0.3506489941
190	0.3488557334
191	0.3473456071
192	0.3461922753
193	0.3447109075
194	0.3436043699
195	0.3421149761
196	0.3408808103
197	0.3394401876
198	0.3382925378
199	0.3370945635
200	0.3357470826
201	0.3351631196
202	0.3339977954
203	0.3318886315
204	0.3305663885
205	0.3295552476
206	0.3286276847
207	0.3273346942
208	0.3263259472
209	0.3255611641
210	0.3238970206
211	0.3233339223
212	0.3225721436
213	0.3216806103
214	0.3205819014
215	0.3193811009
216	0.317882931
217	0.3168816125
218	0.3156417298
219	0.3145203811
220	0.3136414732
221	0.3128355066
222	0.3117214771
223	0.3109157587
224	0.309799977
225	0.3090134913
226	0.307492459
227	0.3062652506
228	0.3054210165
229	0.3044124688
230	0.3033523011
231	0.3028138583
232	0.3019714383
233	0.3012062144
234	0.3004003273
235	0.299138379
236	0.2985497481
237	0.297693934
238	0.2965994171
239	0.2961260353
240	0.2950319353
241	0.29425863
242	0.2932371905
243	0.2922488244
244	0.2911156147
245	0.2905322274
246	0.2898390835
247	0.2887414383
248	0.2880452649
249	0.2869819092
250	0.2859036084
251	0.2852095541
252	0.2839537555
253	0.282949273
254	0.2824668311
255	0.2817385656
256	0.2808788279
257	0.2803079426
258	0.2793385504
259	0.2785795227
260	0.2778627845
261	0.2770625599
262	0.2764512632
263	0.27510964
264	0.2745271212
265	0.2740266129
266	0.2731864063
267	0.2721198064
268	0.2718077801
269	0.2706615481
270	0.2696678809
271	0.2687502166
272	0.2681777535
273	0.2675980553
274	0.267137067
275	0.2662999015
276	0.2654612816
277	0.2649191097
278	0.2642592531
279	0.2635844588
280	0.2627095867
281	0.2621041994
282	0.261130592
283	0.2604569397
284	0.2596572815
285	0.2588254252
286	0.2580160474
287	0.2572828315
288	0.2567437198
289	0.2561174693
290	0.2555257989
291	0.2546976143
292	0.2539476266
293	0.2534337339
294	0.2528469596
295	0.2523280166
296	0.2518153744
297	0.2511365538
298	0.250491987
299	0.2496337329
300	0.2490022664
301	0.2486025723
302	0.2479438067
303	0.2472917113
304	0.2465895565
305	0.2460909221
306	0.245534945
307	0.2451019732
308	0.2447454225
309	0.2442293988
310	0.2436804904
311	0.2433493938
312	0.2427353156
313	0.2419889146
314	0.2414032406
315	0.2409719054
316	0.240224757
317	0.2397676983
318	0.2390798416
319	0.2387358403
320	0.2381592856
321	0.2375811651
322	0.2369088535
323	0.2364220047
324	0.2359899697
325	0.2354169742
326	0.2347531369
327	0.2341855177
328	0.2337940104
329	0.2335107433
330	0.2329549527
331	0.2325608292
332	0.2317934124
333	0.231414009
334	0.2309005854
335	0.2303444841
336	0.2298030175
337	0.2292542248
338	0.228944438
339	0.2285790438
340	0.2281937873
341	0.2278246497
342	0.2272783983
343	0.2267541868
344	0.2262490878
345	0.2255288117
346	0.2251152635
347	0.2246013908
348	0.2240659319
349	0.2235789715
350	0.2229927555
351	0.2226572331
352	0.2223319055
353	0.2221448877
354	0.2216515089
355	0.2209329774
356	0.2201470824
357	0.2197102472
358	0.2193358691
359	0.2189087208
360	0.2184760827
361	0.2179498485
362	0.2175340699
363	0.2168648248
364	0.2163640361
365	0.2158674451
366	0.2153593858
367	0.2148842154
368	0.2146297735
369	0.2141829505
370	0.2138982032
371	0.2134171413
372	0.2130331981
373	0.2126312959
374	0.2120780512
375	0.2115589921
376	0.2112285842
377	0.2108389121
378	0.2105811818
379	0.2101497855
380	0.2097634065
381	0.2094768708
382	0.208989512
383	0.2085057857
384	0.208300262
385	0.207762293
386	0.207263816
387	0.2067832339
388	0.2062784333
389	0.2055790303
390	0.2049493203
391	0.2045170734
392	0.2039777725
393	0.2035364936
394	0.2031666331
395	0.2027978527
396	0.2023122898
397	0.2018932247
398	0.2012935976
399	0.20075276
400	0.2003366124
401	0.2000164582
402	0.1995957184
403	0.199052073
404	0.1984794167
405	0.1981456063
406	0.197837847
407	0.1975369385
408	0.1969477086
409	0.1966036035
410	0.1962936955
411	0.1958373083
412	0.1954254179
413	0.1951192683
414	0.1946859036
415	0.1944260796
416	0.1939497359
417	0.1935484141
418	0.1930442401
419	0.1925463564
420	0.1921611618
421	0.1918732187
422	0.1914704755
423	0.1911625408
424	0.1909424905
425	0.1905207013
426	0.190062931
427	0.18973804
428	0.1893996019
429	0.1891172672
430	0.1885409229
431	0.1883425228
432	0.1880799595
433	0.1878923424
434	0.1874700466
435	0.1871634683
436	0.1869295997
437	0.1866164922
438	0.1863856389
439	0.1860480346
440	0.1857649659
441	0.185487145
442	0.1851541553
443	0.1848492714
444	0.1845527638
445	0.184088509
446	0.183791538
447	0.1834948529
448	0.1832125947
449	0.1827490441
450	0.1823210567
451	0.1818422141
452	0.1815300189
453	0.181223354
454	0.1809189939
455	0.1805217441
456	0.1802282116
457	0.180014833
458	0.1796667852
459	0.1791493488
460	0.1789901811
461	0.1788224985
462	0.178437467
463	0.1781025181
464	0.177782698
465	0.1773180877
466	0.1770902822
467	0.1766487241
468	0.1763703612
469	0.1760860476
470	0.1756852987
471	0.1755020563
472	0.1753650191
473	0.1751593753
474	0.1749246497
475	0.1746746928
476	0.1745589276
477	0.1743418199
478	0.1738404717
479	0.1735893378
480	0.1734168576
481	0.1730449236
482	0.1727252091
483	0.172561403
484	0.1721871995
485	0.1719280555
486	0.1717697331
487	0.1714449602
488	0.1711583028
489	0.1709230815
490	0.1705241298
491	0.1703540993
492	0.170021682
493	0.1697439473
494	0.1695757761
495	0.1692036308
496	0.1690964959
497	0.1687139505
498	0.1684792324
499	0.1682403447
500	0.1679427535
501	0.1674354631
502	0.1672225019
503	0.1669570923
504	0.1666640541
505	0.1662770427
506	0.1658765218
507	0.1656099787
508	0.1653721009
509	0.1651391631
510	0.1649229219
511	0.1647288468
512	0.1644254142
513	0.1641782851
514	0.1640084283
515	0.1636693499
516	0.1633406741
517	0.1631123343
518	0.1628333136
519	0.1625471133
520	0.1622700788
521	0.1618777189
522	0.1616943526
523	0.1615252694
524	0.161394794
525	0.1612434391
526	0.1611054914
527	0.1608375292
528	0.1605400376
529	0.1604078233
530	0.1600575728
531	0.1598877251
532	0.1597200751
533	0.159431985
534	0.1591490151
535	0.1588523495
536	0.1585994628
537	0.1583244597
538	0.1579978793
539	0.1577461128
540	0.1575532542
541	0.1573873714
542	0.1571862188
543	0.1570035043
544	0.1566817425
545	0.1565562161
546	0.1562378789
547	0.1560485984
548	0.1558453979
549	0.1553832793
550	0.1551014585
551	0.1548344983
552	0.1547391004
553	0.154447499
554	0.1541916541
555	0.1538939495
556	0.1536599048
557	0.1534219795
558	0.1532132967
559	0.1528514419
560	0.1526436739
561	0.1524213039
562	0.1523364957
563	0.1520262962
564	0.1516737568
565	0.151406634
566	0.151132362
567	0.150974856
568	0.1506490775
569	0.1504917496
570	0.1503547937
571	0.1501605201
572	0.1499028254
573	0.1497277892
574	0.1494265602
575	0.1491582975
576	0.1489750475
577	0.1486812795
578	0.1484087549
579	0.1482590613
580	0.1481613753
581	0.1480220648
582	0.1478648072
583	0.1477052122
584	0.1475631743
585	0.1472952414
586	0.147046287
587	0.1467536475
588	0.1464906512
589	0.1462613325
590	0.1460296914
591	0.1458126497
592	0.1455417703
593	0.1453610526
594	0.1452157827
595	0.1450479053
596	0.1447685141
597	0.1445305698
598	0.1442631942
599	0.1440624024
600	0.1438614012
601	0.1435985718
602	0.1434098528
603	0.143280419
604	0.1431401865
605	0.1429040134
606	0.1426962544
607	0.1424197837
608	0.142100144
609	0.1418701706
610	0.141673369
611	0.141524764
612	0.1414067623
613	0.1412799277
614	0.1411505269
615	0.140853893
616	0.1406379244
617	0.1403754361
618	0.1400943762
619	0.1398510666
620	0.1396975984
621	0.1395431387
622	0.1393510685
623	0.1391617384
624	0.139050926
625	0.1386996307
626	0.1384936469
627	0.1382776994
628	0.1379433861
629	0.1376274331
630	0.1374260323
631	0.1371773089
632	0.1371082605
633	0.136928712
634	0.1368429004
635	0.1367300347
636	0.1364994125
637	0.1363021876
638	0.136144191
639	0.1358924847
640	0.1356412967
641	0.1353438571
642	0.1351504473
643	0.1349654183
644	0.1346789416
645	0.1344604009
646	0.1342962342
647	0.1341197272
648	0.1339407373
649	0.1337622413
650	0.1335166671
651	0.1334279334
652	0.1332008492
653	0.1330175929
654	0.1328734081
655	0.1327818634
656	0.1326038296
657	0.1323293705
658	0.1321432923
659	0.1318785978
660	0.1316766475
661	0.1313503133
662	0.1311609174
663	0.131064796
664	0.1308933652
665	0.1307838827
666	0.1305723807
667	0.1303959228
668	0.1302267119
669	0.1300668858
670	0.1297008553
671	0.1294620817
672	0.1293378786
673	0.129205872
674	0.1290752461
675	0.1289492331
676	0.1288856247
677	0.1287434346
678	0.1286198405
679	0.1283802736
680	0.1282845417
681	0.1281521856
682	0.1280001983
683	0.1277199364
684	0.1275150825
685	0.1273856817
686	0.1272720104
687	0.1271886474
688	0.1270104728
689	0.1268930931
690	0.12670282
691	0.1264910246
692	0.1263439925
693	0.1260006889
694	0.1258631419
695	0.1256254203
696	0.1254613664
697	0.1252034007
698	0.1250920366
699	0.1249499875
700	0.1246838481
701	0.1245338481
702	0.1243919208
703	0.1241165317
704	0.123953653
705	0.1237492708
706	0.1236333668
707	0.1235165856
708	0.1232715019
709	0.1231474456
710	0.123024908
711	0.1228295402
712	0.1226326017
713	0.1224824855
714	0.1222526446
715	0.1221044984
716	0.1219001848
717	0.1217575235
718	0.1217001279
719	0.1216055715
720	0.1214632528
721	0.1213565625
722	0.1212426066
723	0.1210604568
724	0.1208983013
725	0.1207821801
726	0.1205350615
727	0.1204551775
728	0.1202361738
729	0.1200297184
730	0.1198483373
731	0.1197258859
732	0.1196310788
733	0.1194206617
734	0.1193343298
735	0.1192548245
736	0.1191020567
737	0.1190081321
738	0.1188922663
739	0.1187405396
740	0.1186229494
741	0.1185154634
742	0.1183386333
743	0.1182200845
744	0.1181071164
745	0.117908581
746	0.1176553872
747	0.1175415815
748	0.1173685782
749	0.1172515586
750	0.1171038383
751	0.1169519318
752	0.1168542433
753	0.1168021633
754	0.1166848915
755	0.1165432273
756	0.1163407267
757	0.1162088938
758	0.1160146743
759	0.1158969913
760	0.1157955408
761	0.1156116303
762	0.1154919134
763	0.1153713235
764	0.1153132199
765	0.115202838
766	0.1149961999
767	0.1147751643
768	0.1145579256
769	0.1143765938
770	0.1141978242
771	0.1140867381
772	0.1139966707
773	0.1138749066
774	0.1137964329
775	0.1137293949
776	0.1135239188
777	0.1133676596
778	0.1132699225
779	0.1131199292
780	0.1129908525
781	0.1128775818
782	0.1127426605
783	0.1125722753
784	0.1124241437
785	0.1122407147
786	0.1121596622
787	0.112039512
788	0.111945772
789	0.1117748508
790	0.1116168719
791	0.1114596766
792	0.1113057861
793	0.1111870403
794	0.1110650001
795	0.1109564452
796	0.1107519328
797	0.1105638016
798	0.1104669268
799	0.1103432366
800	0.1101114775
